sch98v1,prs,t1,elg98,p1,mk96_s,Y98sap1,Y98sap2,Y98sap3,Y98sap4,Istd1,Istd2,Istd3,Istd4,Istd5,Istd6,Istd7,Istd8,Istd9,Isem1,Isem2,Isem3,pop1_3km_updated,pop2_3km_updated,pop1_36k_updated,pop2_36k_updated,popT_36k_updated,popT_3km_updated,wgrp,obs,treatment,control,matched_out,_pscore,_treated,_support,_weight,_prs,_id,_n1,_nn,_pdif,treat_effect,sap_any,pop_3km_pctile,incl_prob1,incl_prob1_alt,incl_prob2
268,.94256544,1,.89878541,.4989737,.2839008,0,0,0,0,.0020242915,.097165994,.14979757,.17004049,.10931174,.12550607,.085020244,.080971658,.10323887,.26203328,.090418354,0,399.0152,775.75714,0,505.7619,3235.8335,1174.7723,1,1567,1,0,.93514544,.1207430375438623,Untreated,On support,,,8,,0,,.0074200034,0,1358.0432,.2,.06666667,.20555556
158,.47071353,1,.93927127,.71901017,-.14849591,0,0,.77777779,0,.16194332,.1902834,.1659919,.10526316,.13765182,.052631579,.056680162,.06477733,.036437247,.3234368,.098965362,0,555.72302,0,802.62952,28.69697,831.32648,1241.3346,1,939,1,0,.93514544,.1547073265837403,Untreated,On support,,,10,,0,,-.46443191,1,1358.0432,.2,.06666667,.89999998
165,.71986973,1,.88104087,.29337534,-.31434938,0,0,.77777779,0,.133829,.15613383,.133829,.11152416,.11524164,.092936806,.085501857,.066914499,.059479553,.41387856,.093349859,0,638.15552,465.9696,532.95447,1128.087,2647.7847,1323.8981,1,1228,1,0,.93514544,.25193748825662,Untreated,On support,1,,13,,0,,-.2152757,1,1358.0432,.2,.06666667,.89999998
117,.71521944,1,.88671875,.50771379,-.68185455,.77777779,0,0,0,.11328125,.23828125,.11328125,.09765625,.1015625,.09765625,.08203125,.0625,.0546875,.375,.08984375,0,203.6494,1020.106,1176.9442,403.14276,2204.9014,1392.1882,1,1071,1,0,.93514544,.0237591033667335,Untreated,On support,,,2,,0,,-.219926,1,1358.0432,.69999999,.89999998,.89999998
279,.95540625,1,.89060092,.36665481,.33095631,0,0,0,0,.0015408321,.11710323,.14175655,.12634823,.11093991,.15562403,.10631741,.077041604,.10939907,.18455744,.09570279,0,666.88306,584.62341,1819.7163,573.92786,4642.123,1456.4664,1,1637,1,0,.93514544,.05255149664188,Untreated,On support,,,5,,0,,.020260811,0,1358.0432,.69999999,.89999998,.20555556
281,.93103451,1,.84501845,.49457058,.16376407,0,0,0,0,.0036900369,.081180811,.095940962,.10332103,.17343174,.099630997,.12915128,.12546125,.11808118,.30299303,.08938089,0,868.78998,514.23352,783.61298,505.8725,1723.3341,1551.4563,1,957,1,0,.93514544,.0067165011098104,Untreated,On support,,,1,,0,,-.0041109324,0,1358.0432,.69999999,.89999998,.20555556
143,.73076922,1,.92372882,.29073784,-.2562418,0,.77777779,0,0,.036723163,.19774011,.1779661,.12146892,.09039548,.09039548,.096045196,.076271184,.06779661,.37821719,.078782171,0,537.73303,860.37781,1068.3373,733.67883,2572.3223,1834.321,1,1456,1,0,.93514544,.1598332282696334,Untreated,On support,,,11,,0,,-.20437622,1,1358.0432,.69999999,.89999998,.89999998
191,.61636829,1,.89999998,.50489712,-.38421533,0,0,0,.77777779,.12258065,.14193548,.11935484,.11290322,.12580645,.14193548,.070967741,.077419356,.064516127,.33835125,.082078852,0,1264.8354,584.62341,1735.158,392.33331,3307.3962,2054.4189,1,1173,1,0,.76110125,.5462669889224714,Untreated,On support,2,,20,,0,,-.14473295,1,1358.0432,.69999999,.89999998,.89999998
207,.8291949,1,.89567429,.78911567,-.53319746,0,0,0,0,0,.11959288,.20356233,.11959288,.15012723,.14249364,.10178117,.071246818,.055979643,.28357366,.092168503,0,0,1485.8142,1642.2773,1455.7581,5042.9023,2076.186,1,1329,1,0,.93514544,.2276432138052626,Untreated,On support,,,12,,0,,-.10595053,0,1358.0432,.69999999,.89999998,.20555556
115,.74466431,1,.91794872,.37788996,-.22816463,.77777779,0,0,0,.063247867,.17435898,.15042736,.12307692,.1025641,.1008547,.078632481,.087179489,.071794875,.39544159,.094017096,0,627.55469,392.33331,766.83411,1866.8083,3987.1772,2088.4619,1,2577,1,0,.80611485,.4573684169800905,Untreated,On support,,,16,,0,,-.061450541,1,1358.0432,.69999999,.89999998,.89999998
142,.77856582,1,.89864862,.37108353,.38144183,0,.77777779,0,0,.040540539,.17567568,.15878378,.13851352,.067567565,.081081077,.14864865,.064189188,.070945948,.38738739,.088963963,0,889.33362,392.33331,1017.0885,1588.2656,4328.5664,2380.2991,1,1269,1,0,.69726563,.3656829106978721,Untreated,On support,2,,14,,0,,.081300199,1,1358.0432,.69999999,.89999998,.89999998
296,.9482221,1,.86792451,.3678706,.06959933,0,0,0,0,0,.12075472,.16792452,.10943396,.12830189,.13207547,.096226417,.088679247,.10943396,.26058701,.075471699,0,1518.213,976.95673,1068.3373,1003.6422,4111.6885,2700.1296,1,1603,1,0,.93514544,.0332992652164357,Untreated,On support,,,3,,0,,.013076663,0,1358.0432,.69999999,.89999998,.20555556
215,.67392617,1,.92913383,.69955587,-.10926324,0,0,0,0,0,.12007874,.2027559,.18307087,.13188976,.092519686,.070866145,.08858268,.05905512,.28280839,.078740157,0,0,2385.3345,291.09409,541.54102,1112.0488,2975.7063,1,1653,1,0,.56562793,.8268177958877659,Untreated,On support,9,,25,,0,,.10829824,0,1358.0432,.69999999,.89999998,.20555556
